DESCRIPTION,NAME,GEOMETRY,TYPE
,(512) Brewing Company,"<Point><coordinates>-97.769951,30.222983,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/ZQSCXtOiyn8zL0DqXyCdGi-OQl6BB0BiJ0PL6cROOaB27DZchkZ_GnQEXD4X1u-IOf_ccVHlzGzIX6YeahDuZw1pyht8Jd7YKvAJszK30jum95u1vmyVX6TlSSITdTqwWsCLLg"" height=""200"" width=""auto"" /><br><br>2202 Dallas St, Houston, TX 77003",8th Wonder Brewing,"<Point><coordinates>-95.355781,29.749223,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/qeljHQa94mzopNu0Ezwz_u93-QsC_3Bhp05R4fGCstSd5aszR0EiG667cXhTKMTaWcPUtaSAgCDt1541DoM6NOXWU9ZuoruxK_2XIMxH2RuylFidEaW1Shmt0m_jKHJATsJBmkIZWE_DZw"" height=""200"" width=""auto"" /><br><br>Sherman, TX 75090",903 Brewers,"<Point><coordinates>-96.606945,33.617928,0.0</coordinates></Point>",Brewery
"Austin, TX 78758",Adelbert's Brewery,"<Point><coordinates>-97.720642,30.382353,0.0</coordinates></Point>",Brewery
"Austin, TX 78758",Austin Beerworks,"<Point><coordinates>-97.730224,30.37976,0.0</coordinates></Point>",Brewery
,Bearded Eel Craft Brewery,"<Point><coordinates>-97.421825,32.956706,0.0</coordinates></Point>",Brewery
,Brash Brewing,"<Point><coordinates>-95.406124,29.828122,0.0</coordinates></Point>",Brewery
,Buffalo Bayou Brewing Co,"<Point><coordinates>-95.416088,29.775965,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/78kFkVk46kE5wumdofO0OkbJjrWLHu9PSfpEZSq-uVkfxmPIquzEyBEsirOeMKeOoJX44653QV0_7xjE5nk3kTYNrjuMyKqX20M5V4DWwsnXqe2pXJwiQyZM3ovW4rvay4CdwmhW7IE"" height=""200"" width=""auto"" /><br><br>Kemp, TX 75143",Cedar Creek Brewery,"<Point><coordinates>-96.230918,32.441695,0.0</coordinates></Point>",Brewery
,Circle Brewing Company,"<Point><coordinates>-97.715578,30.391201,0.0</coordinates></Point>",Brewery
"Dallas, TX 75207",Community Beer Company,"<Point><coordinates>-96.815758,32.790945,0.0</coordinates></Point>",Brewery
"Beaumont, TX 77713",Cornel's Brewing Company,"<Point><coordinates>-94.266735,30.13453,0.0</coordinates></Point>",Brewery
,Deep Ellum Brewing Company (DEBC),"<Point><coordinates>-96.782684,32.781502,0.0</coordinates></Point>",Brewery
,"FireWheel Brewing Co., LLC","<Point><coordinates>-96.576087,32.899827,0.0</coordinates></Point>",Brewery
